Player_ID,Game_Type,Match_ID,Rank
CEQ,Forest,1,1
HYC,Forest,1,2
LYT,Forest,1,3
WT,Forest,1,4
LJY,Forest,1,5
ZYQ,Forest,1,6
QJ,Forest,1,7
LXS,Forest,1,8
WZL,Forest,1,9
HS,Forest,1,10
YHY,Forest,2,1
QJ,Forest,2,2
KB,Forest,2,3
WYS,Forest,2,4
LKW,Forest,2,5
LYC,Forest,2,6
WCL,Forest,2,7
ZYQ,Forest,2,8
HYB,Forest,2,9
ZJW,Forest,2,10
HYC,Invest,1,1
LJY,Invest,1,1
HS,Invest,1,2
WCL,Invest,1,2
WZL,Invest,1,3
LXS,Invest,1,3
YHY,Invest,1,4
WYS,Invest,1,4
MQR,Invest,1,5
ZYG,Invest,1,5
WZL,Invest,2,1
ZYQ,Invest,2,1
LKW,Invest,2,2
LJY,Invest,2,2
LYC,Invest,2,3
CEQ,Invest,2,3
HS,Invest,2,4
LYW,Invest,2,4
QJ,Invest,2,5
SMX,Invest,2,5
HS,Ocean,1,1
LJY,Ocean,1,1
WCL,Ocean,1,3
ZYG,Ocean,1,4
MQR,Ocean,1,5
YHY,Ocean,1,6
KB,Ocean,1,7
WZL,Ocean,1,8
LXS,Ocean,1,9
CEQ,Ocean,2,1
LYC,Ocean,2,2
KB,Ocean,2,3
QJ,Ocean,2,4
HYC,Ocean,2,5
LKW,Ocean,2,6
ZYQ,Ocean,2,7
WT,Ocean,2,8
SMX,Ocean,2,9
WT,Escape,1,1
ZYG,Escape,1,2
KB,Escape,1,3
QJ,Escape,1,4
HYC,Escape,1,5
ZJW,Escape,1,6
LYC,Escape,1,7
LXS,Escape,1,8
ZYQ,Escape,1,9
LXS,Escape,2,1
KB,Escape,2,2
ZYQ,Escape,2,3
LJY,Escape,2,4
WYS,Escape,2,5
LKW,Escape,2,6
WCL,Escape,2,7
HYB,Escape,2,8
HS,Escape,2,8
SMX,Nature,1,1
ZJW,Nature,1,2
QJ,Nature,1,3
LJY,Nature,1,4
ZYG,Nature,1,5
LXS,Nature,1,6
CEQ,Nature,1,7
LYC,Nature,1,8
HS,Nature,1,9
LJY,Nature,2,1
CEQ,Nature,2,2
HYC,Nature,2,3
WT,Nature,2,4
LKW,Nature,2,5
WYS,Nature,2,6
YHY,Nature,2,7
WCL,Nature,2,8
HYB,Nature,2,8
